wavelength_nm,V_P,K_P_lm_per_W,V_P_q,log10_V_P_q
390,0.0006402665086693413,0.4373033120881249,0.0009072146365408822,-3.0422899517077138
390.1,0.00064878502595221,0.4431214765109688,0.0009190491497198591,-3.0366612624100298
390.2,0.0006574349659060648,0.44902940288220056,0.0009310637186786418,-3.03102059643692
390.3,0.0006662184626691108,0.4550285488225031,0.0009432612266254194,-3.025368017155374
390.4,0.0006751376503795329,0.4611203719525453,0.000955644553814247,-3.0197036108846804
390.5,0.0006841946631755366,0.46730632989301035,0.0009682165775488832,-3.0140274857558924
390.6,0.0006933916351953116,0.47358788026457055,0.0009809801721865177,-3.0083397705986528
390.7,0.0007027307005770479,0.47996648068789827,0.0009939382091415628,-3.0026406138551844
390.8,0.000712213993458951,0.48644358878367666,0.0010070935568894418,-2.996930182521366
390.9,0.0007218436479792053,0.4930206621725744,0.001020449080970296,-2.99120866111483
391,0.0007316217982760168,0.4996991584752749,0.0010340076439927972,-2.985476250669909
391.1,0.0007415505784875751,0.5064805353124504,0.0010477721056378444,-2.979733167759438
391.2,0.0007516321227520694,0.5133662503047727,0.0010617453226623257,-2.973979643543232
391.3,0.0007618685652077064,0.520357761072926,0.0010759301489028815,-2.968215922843181
391.4,0.0007722620399926696,0.527456525237578,0.0010903294352795773,-2.962442263244876
391.5,0.0007828146812451653,0.5346640004194125,0.0011049460297996936,-2.9566589342255667
391.6,0.0007935286231033834,0.5419816442391021,0.0011197827775613883,-2.950866216308415
391.7,0.0008044059997055126,0.5494109143173181,0.0011348425207574342,-2.945064400242805
391.8,0.00081544894518976,0.5569532682747448,0.0011501280986789516,-2.939253786210581
391.9,0.0008266595936943084,0.5646101637320499,0.0011656423477190527,-2.9334346830580533
392,0.0008380400793573655,0.5723830583099176,0.0011813881013766046,-2.927607407553493
392.1,0.0008495925804544196,0.5802734397748842,0.0011973682524645016,-2.921772261107878
392.2,0.0008613194518101569,0.5882829164769425,0.0012135859396004138,-2.915929463853929
392.3,0.0008732230923865833,0.5964131269119634,0.0012300443603747455,-2.9100792258625794
392.4,0.0008853059011456774,0.6046657095757991,0.0012467467091183415,-2.904221769461018
392.5,0.0008975702770494452,0.6130423029643208,0.001263696176906716,-2.8983573283902193
392.6,0.0009100186190598729,0.6215445455733858,0.001280895951564132,-2.8924861469897536
392.7,0.0009226533261389452,0.6301740758988508,0.0012983492176677676,-2.886608479409466
392.8,0.000935476797248669,0.638932532436587,0.0013160591565518807,-2.8807245888477238
392.9,0.0009484914313510223,0.6478215536824466,0.001334028946311866,-2.874834746815927
393,0.0009616996274080117,0.6568427781323011,0.001352261761808456,-2.8689392324288487
393.1,0.000975103814904492,0.6659978651291883,0.0013707608175795576,-2.8630383181261725
393.2,0.0009887065454167907,0.6752885574048677,0.0013895294964804672,-2.8571322297266692
393.3,0.0010025104010441277,0.6847166185382951,0.001408571220812004,-2.8512211891299875
393.4,0.0010165179638856924,0.6942838121084063,0.0014278894093952285,-2.845305427538334
393.5,0.0010307318160407046,0.7039919016941569,0.0014474874775759485,-2.839385184728809
393.6,0.0010451545396083619,0.7138426508744881,0.0014673688372290618,-2.8334607083518595
393.7,0.0010597887166878602,0.7238378232283394,0.0014875368967629916,-2.8275322532553213
393.8,0.0010746369293784205,0.7339791823346679,0.0015079950611241255,-2.8216000808336528
393.9,0.0010897017597792308,0.7442684917724078,0.0015287467318011296,-2.8156644584019395
394,0.0011049857899895128,0.7547075151205164,0.0015497953068294278,-2.809725658594135
394.1,0.0011204916326553339,0.7652980368215082,0.0015711442236280768,-2.8037839469454355
394.2,0.001136222022610248,0.7760419247721964,0.001592797087414971,-2.7978395471297945
394.3,0.001152179725234707,0.7869410677329868,0.001614757542561555,-2.7918926781827307
394.4,0.001168367505909127,0.7979973544642609,0.0016370292297431064,-2.785943566035336
394.5,0.00118478813001396,0.8092126737264246,0.0016596157859435207,-2.7799924428985254
394.6,0.0012014443629296317,0.8205889142798659,0.0016825208444599012,-2.7740395466713927
394.7,0.0012183389700365663,0.8321279648849719,0.0017057480349072648,-2.768085120373088
394.8,0.0012354747167152168,0.8438317143021492,0.0017293009832232468,-2.762129411597738
394.9,0.001252854368345998,0.8557020512917785,0.0017531833116726642,-2.756172671991937
395,0.0012704806903093642,0.8677408646142669,0.0017773986388522716,-2.750215156754209
