wavelength_nm,log10_V_P_q
390,-3.0422899517077138
395,-2.750215156754209
400,-2.4562130168365863
405,-2.1834532859446285
410,-1.9413789251462297
415,-1.7401198336237436
420,-1.5754065626145561
425,-1.4416458028866745
430,-1.3258245861225413
435,-1.221763914936333
440,-1.1294257133943348
445,-1.048596421481759
450,-0.9742393999239672
455,-0.9030004451416386
460,-0.8278462535208693
465,-0.7490962784182283
470,-0.6735708042823227
475,-0.6046818787133497
480,-0.5413069271683226
485,-0.48132234777847227
490,-0.4224763981398215
495,-0.3604111689634985
500,-0.2979460971907466
505,-0.23701653112351095
510,-0.1808809187261702
515,-0.13217511428228348
520,-0.09187995105366288
525,-0.06120430809362206
530,-0.03794076201956492
535,-0.02081500538856428
540,-0.008240184853738026
545,-0.0014342056735638963
550,-0.00002396268201570102
555,-0.0018800284943141373
560,-0.008308700412258833
565,-0.018390895428765684
570,-0.032748350725315
575,-0.05179038411088173
580,-0.0759139228488191
585,-0.10285532265775368
590,-0.13503705923993226
595,-0.17314731380853726
600,-0.21726535114886697
605,-0.2675086075435425
610,-0.32458403576587885
615,-0.38838253900553255
620,-0.4589130387283296
625,-0.5361393095037419
630,-0.6223653113480223
635,-0.7165772589400832
640,-0.8181147027029416
645,-0.9271081054681322
650,-1.0454707711556839
655,-1.171853233950558
660,-1.3046704131507492
665,-1.4440515340680407
670,-1.5888905064246082
675,-1.7386512637386626
680,-1.8928872733402702
685,-2.051123881326507
690,-2.2130103491707644
695,-2.375075223388456
700,-2.53813976320159
705,-2.7021077876105037
710,-2.8674042534443864
715,-3.0325449527652
720,-3.196256790521785
725,-3.3590092996322545
730,-3.519986631497646
735,-3.67958411361488
740,-3.8378919928157553
745,-3.993522096031976
750,-4.147781085979164
755,-4.299984659605667
760,-4.450192088159727
765,-4.598821267630587
770,-4.745442343560327
775,-4.890908307322474
780,-5.0340535020958015
